,utcdate,utctime,alt,speed_mph,n_sats
106149,2021-11-19,,196,6173.320885,7
106418,2021-11-19,,196,6877.955599,7
106693,2021-11-19,,196,7683.252415,7
106966,2021-11-19,,196,5200.253899,7
107237,2021-11-19,,196,4931.821627,7
107513,2021-11-19,,196,1744.1883970000001,7
107788,2021-11-19,,196,1442.202091,7
108056,2021-11-19,,196,435.581071,7
108332,2021-11-19,,196,636.905275,7
108596,2021-11-19,,196,1140.215785,7
108870,2021-11-19,,196,2650.147315,7
109146,2021-11-19,,196,3220.565893,7
109424,2021-11-19,,196,5032.4837290000005,7
109696,2021-11-19,,196,6945.063667,7
109977,2021-11-19,,197,9192.562574,7
110247,2021-11-19,,197,9863.643254,7
110521,2021-11-19,,197,11272.912682,7
110785,2021-11-19,,197,12849.95228,7
111062,2021-11-19,,197,14359.88381,7
111335,2021-11-19,,197,15400.058864,7
111611,2021-11-19,,197,18083.760213,7
111886,2021-11-19,,197,19593.691743,7
112156,2021-11-19,,197,20063.448219,7
112437,2021-11-19,,198,21808.257987,7
112713,2021-11-19,,198,23317.568146,7
112988,2021-11-19,,198,24659.729506,7
113265,2021-11-19,,198,26236.769104,7
113538,2021-11-19,,198,26974.957852,7
113813,2021-11-19,,199,28652.659552,7
114087,2021-11-19,,199,29525.064436,7
114370,2021-11-19,,199,31235.698799,7
114654,2021-11-19,,199,31068.55,7
114934,2021-11-19,,199,32477.198057,7
115209,2021-11-19,,199,33752.251349,7
115477,2021-11-19,,199,34691.764301,7
115753,2021-11-19,,199,35698.385321,7
116023,2021-11-19,,200,36772.114409,7
116294,2021-11-19,,200,38416.262075,7
116559,2021-11-19,,200,39086.721384000004,7
116843,2021-11-19,,200,40126.896438,7
117115,2021-11-19,,200,444.901636,7
117386,2021-11-19,,200,411.347602,7
117654,2021-11-19,,201,344.239534,7
117924,2021-11-19,,201,109.361296,6
118199,2021-11-19,,201,39824.910132,6
118474,2021-11-19,,201,38449.816109,6
118744,2021-11-19,,201,38080.721735,6
119015,2021-11-19,,201,37006.992647,6
119287,2021-11-19,,202,36705.006341,6
